reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_196,12,2204,00,196,,,1,Financial_Col_1,3057.41,3057.41,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_196,12,2204,00,196,,,2,Financial_Col_2,3414.54,3414.54,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_196,12,2204,00,196,,,3,Financial_Col_3,3459.63,3459.63,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_196,12,2204,00,196,,,4,Financial_Col_4,3745.90,3745.90,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_789,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_789,12,2204,00,789,,,1,Financial_Col_1,750,750,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_789,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_789,12,2204,00,789,,,2,Financial_Col_2,900,900,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_789,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_789,12,2204,00,789,,,3,Financial_Col_3,900,900,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_789,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_789,12,2204,00,789,,,4,Financial_Col_4,900,900,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_796,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_796,12,2204,00,796,,,1,Financial_Col_1,250,250,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_796,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_796,12,2204,00,796,,,2,Financial_Col_2,300,300,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_796,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_796,12,2204,00,796,,,3,Financial_Col_3,300,300,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_2.in_schema.object_head.minor.12_2204_00_796,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,12_2204_00_796,12,2204,00,796,,,4,Financial_Col_4,300,300,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_5.in_schema.object_head.minor.23_2230_03_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,23_2230_03_911,23,2230,03,911,,,1,Financial_Col_1,-4.44,-3.43,-1.01,1.01,70.55,0,1,abs_diff,1.01,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_5.in_schema.object_head.minor.23_2230_03_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,23_2230_03_911,23,2230,03,911,,,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_5.in_schema.object_head.minor.23_2230_03_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,23_2230_03_911,23,2230,03,911,,,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2025-26.expvol_5.in_schema.object_head.minor.23_2230_03_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,23_2230_03_911,23,2230,03,911,,,4,Financial_Col_4,-34.56,-34.56,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
