document_year,reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,1,Financial_Col_1,31852.01,31852.01,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,2,Financial_Col_2,37064.02,37064.02,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,3,Financial_Col_3,38992.95,38992.95,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,4,Financial_Col_4,39993.01,39993.01,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,1,Financial_Col_1,-0.19,-0.19,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,1,Financial_Col_1,-10.65,-10.65,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2026-27,KA.2026-27.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
