document_year,reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_196,09,3475,00,196,,,1,Financial_Col_1,200.05,200.05,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_196,09,3475,00,196,,,2,Financial_Col_2,412.12,412.12,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_196,09,3475,00,196,,,3,Financial_Col_3,412.12,412.12,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_196,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_196,09,3475,00,196,,,4,Financial_Col_4,434.50,434.50,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_200,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_200,09,3475,00,200,,,1,Financial_Col_1,57.88,57.88,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_200,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_200,09,3475,00,200,,,2,Financial_Col_2,60,60,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_200,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_200,09,3475,00,200,,,3,Financial_Col_3,60,60,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_200,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_200,09,3475,00,200,,,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_911,09,3475,00,911,,,1,Financial_Col_1,-30.94,-30.94,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_911,09,3475,00,911,,,2,Financial_Col_2,-4.78,-4.78,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_911,09,3475,00,911,,,3,Financial_Col_3,-4.78,-4.78,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_3.in_schema.object_head.minor.09_3475_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,09_3475_00_911,09,3475,00,911,,,4,Financial_Col_4,-15.33,-15.33,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_105_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_105_0_01,03,2020,00,105,0,01,1,Financial_Col_1,439.40,439.40,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_105_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_105_0_01,03,2020,00,105,0,01,2,Financial_Col_2,414,414,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_105_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_105_0_01,03,2020,00,105,0,01,3,Financial_Col_3,426.84,426.84,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
